N ;result simple ;time simple ;;result optimized ;time optimized 
500;489;0.014;;489;0.005
1000;1000;0.093;;1000;0.012
1500;1498;0.115;;1498;0.022
2000;2000;0.199;;2000;0.042
2500;2492;0.513;;2492;0.051
3000;3000;0.494;;3000;0.083
3500;3480;0.682;;3480;0.115
4000;3997;1.085;;3997;0.139
4500;4500;1.007;;4500;0.146
5000;5000;1.407;;5000;0.241
5500;5500;1.719;;5500;0.293
6000;6000;2.071;;6000;0.209
6500;6500;2.309;;6500;0.261
7000;7000;2.772;;7000;0.31
7500;7497;3.422;;7497;0.447
8000;8000;3.773;;8000;0.43
8500;8500;4.208;;8500;0.435
9000;9000;4.585;;9000;0.566
9500;9500;3.512;;9500;0.526
10000;10000;6.147;;10000;0.557
